symbol,timestamp,open,high,low,close,SMA_50
BTCUSDT,2025-01-31,102307.29,102481.64,101554.3,102430.9,98816.03842896556
BTCUSDT,2025-01-31,105456.57,105571.46,102120.5,102307.29,98953.17792600078
BTCUSDT,2025-01-31,104733.75,106015.64,104106.67,105456.57,99208.62034919638
BTCUSDT,2025-01-31,104194.22,104845.81,103926.63,104733.75,99425.62465621026
BTCUSDT,2025-01-31,104334.3,104805.44,103967.42,104194.22,99612.90414329717
BTCUSDT,2025-01-31,104726.76,105026.96,103930.94,104334.3,99798.31921896961
BTCUSDT,2025-01-30,105714.55,105821.99,104693.55,104726.76,99991.85445396951
BTCUSDT,2025-01-30,105569.64,106011.14,104760.34,105714.55,100216.56733302727
BTCUSDT,2025-01-30,105310.19,106445.12,104665.37,105569.64,100426.75546592446
BTCUSDT,2025-01-30,105137.82,105545.96,104937.38,105310.19,100618.49383498699
BTCUSDT,2025-01-30,105202.22,105607.02,104814.52,105137.82,100795.9278133373
BTCUSDT,2025-01-30,103737.53,105309.39,103295.62,105202.22,100968.91608074617
BTCUSDT,2025-01-29,103583.89,104787.21,102866.47,103737.53,101077.60537835505
BTCUSDT,2025-01-29,101981.61,103991.13,101411.31,103583.89,101175.99211275397
BTCUSDT,2025-01-29,102638.69,102830.09,101584.86,101981.61,101207.61618146226
BTCUSDT,2025-01-29,102757.66,103004.93,102190.5,102638.69,101263.78998826866
BTCUSDT,2025-01-29,102035.68,102851.81,101959.17,102757.66,101322.42654570921
BTCUSDT,2025-01-29,101334.2,102313.83,101324.65,102035.68,101350.42177375207
BTCUSDT,2025-01-28,102426,102537.28,100269.86,101334.2,101349.7850903246
BTCUSDT,2025-01-28,102779.97,103108.07,101816.89,102426,101392.02372536725
BTCUSDT,2025-01-28,102759.2,103796.95,101816.77,102779.97,101446.4952780082
BTCUSDT,2025-01-28,102789.64,103183.34,102392.86,102759.2,101498.01231953443
BTCUSDT,2025-01-28,102634.47,103364.48,102527.15,102789.64,101548.70070972304
BTCUSDT,2025-01-28,102077.8,102893.31,101335.06,102634.47,101591.30923426023
BTCUSDT,2025-01-27,99697.35,102416.57,99606.19,102077.8,101610.39993230907
BTCUSDT,2025-01-27,101111.48,101247.06,98858.34,99697.35,101535.3306542328
BTCUSDT,2025-01-27,98759.94,102308.74,98714.66,101111.48,101518.69890377388
BTCUSDT,2025-01-27,99042.51,99531.14,98277.62,98759.94,101410.44876944392
BTCUSDT,2025-01-27,101391.89,101398.02,97767.27,99042.51,101317.5360511272
BTCUSDT,2025-01-27,102614.84,103261.59,100719.51,101391.89,101320.45347230307
BTCUSDT,2025-01-26,105083.06,105201.15,102511.73,102614.84,101371.24015515888
BTCUSDT,2025-01-26,104970.26,105264.03,104900.45,105083.06,101516.87452679672
BTCUSDT,2025-01-26,104822.11,105091.05,104705.75,104970.26,101652.36649014318
BTCUSDT,2025-01-26,104999.53,105220.66,104445.17,104822.11,101776.72755006992
BTCUSDT,2025-01-26,105057.96,105497.34,104945.86,104999.53,101903.16802406393
BTCUSDT,2025-01-26,104749.49,105239.34,104517.55,105057.96,102026.9380844131
BTCUSDT,2025-01-25,105054,105253.36,104696.56,104749.49,102133.74854468073
BTCUSDT,2025-01-25,104898.18,105289.66,104453.15,105054,102248.31326304616
BTCUSDT,2025-01-25,104666.91,105103.57,104454.62,104898.18,102352.26888382417
BTCUSDT,2025-01-25,104390.41,104691.51,104105.66,104666.91,102443.07208693352
BTCUSDT,2025-01-25,105197.74,105197.83,104217.38,104390.41,102519.46492409955
BTCUSDT,2025-01-25,104859.39,105271.54,104355.09,105197.74,102624.53052723198
BTCUSDT,2025-01-24,105771.27,105777.83,104451.19,104859.39,102712.20030165435
BTCUSDT,2025-01-24,105859.45,107126.9,105585.65,105771.27,102832.20093993592
BTCUSDT,2025-01-24,105417.84,106318.11,104673.58,105859.45,102950.95188291816
BTCUSDT,2025-01-24,105046.96,105761.76,104920.69,105417.84,103047.7202257346
BTCUSDT,2025-01-24,103891.19,105349.9,103801.54,105046.96,103126.14330114507
BTCUSDT,2025-01-24,103909.43,104292.93,102750.6,103891.19,103156.15304287313
BTCUSDT,2025-01-23,103778.83,106423.55,102220.49,103909.43,103185.700798889
BTCUSDT,2025-01-23,105255.48,106850.31,103395.84,103778.83,103208.96642868614
BTCUSDT,2025-01-23,101944.17,106050.56,101321.99,105255.48,103289.24062964178
BTCUSDT,2025-01-23,102709.64,102715.48,101258.9,101944.17,103236.48091115932
BTCUSDT,2025-01-23,102458.79,102969.42,101592.9,102709.64,103215.81602364127
BTCUSDT,2025-01-23,103706.56,103817.57,102112.71,102458.79,103186.12257183516
BTCUSDT,2025-01-22,104636.13,104829.97,103627.17,103706.56,103206.53594935247
BTCUSDT,2025-01-22,104184.84,104757.99,103342.55,104636.13,103262.60919359876
BTCUSDT,2025-01-22,105109.79,105586.93,103656.28,104184.84,103298.78175952045
BTCUSDT,2025-01-22,105082.05,105461.06,104645.59,105109.79,103369.81424076553
BTCUSDT,2025-01-22,105606.64,105950.72,105050.83,105082.05,103436.97214147975
BTCUSDT,2025-01-22,106147.8,106393.39,105453.99,105606.64,103522.07103494825
BTCUSDT,2025-01-21,107024.56,107198.33,105431.98,106147.8,103625.05693632166
BTCUSDT,2025-01-21,103947.45,107242.56,103818.23,107024.56,103758.3908562146
BTCUSDT,2025-01-21,103757.06,105315.48,102806.63,103947.45,103765.80601290267
BTCUSDT,2025-01-21,101996.57,103975.15,101742.3,103757.06,103765.46298433059
BTCUSDT,2025-01-21,102934.38,102971.61,101110.76,101996.57,103696.08536805927
BTCUSDT,2025-01-21,102265.48,103258.69,100138.73,102934.38,103666.21073661
BTCUSDT,2025-01-20,103688.85,104326.58,101734.21,102265.48,103611.27334780848
BTCUSDT,2025-01-20,104956.12,107044.39,100560.95,103688.85,103614.31592978987
BTCUSDT,2025-01-20,108241.02,108702.35,104517.32,104956.12,103666.94168520419
BTCUSDT,2025-01-20,107137.48,109189.69,107111.63,108241.02,103846.33691717133
BTCUSDT,2025-01-20,101899.57,109706.09,101543.92,107137.48,103975.4149094353
BTCUSDT,2025-01-20,101332.27,102325.18,99551.55,101899.57,103894.00101078753
BTCUSDT,2025-01-19,106207.6,106435.48,99653.48,101332.27,103793.53122979621
BTCUSDT,2025-01-19,104938.17,106215.77,104517.98,106207.6,103888.20941315171
BTCUSDT,2025-01-19,104366.48,105708.97,104310.31,104938.17,103929.38802371857
BTCUSDT,2025-01-19,105167.71,105453.52,103466.34,104366.48,103946.53035964906
BTCUSDT,2025-01-19,104982.77,105631.12,104254.81,105167.71,103994.42371427918
BTCUSDT,2025-01-19,104552.97,105447.46,104011.38,104982.77,104033.18546907451
